"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.850143900E-2,-1.519527286E-2,-1.519527286E-2,-2.229658142E-2
2.285014390E-1,-2.435825206E-2,-1.580613852E-2,-1.985312067E-2
4.085014390E-1,1.290452853E-2,1.107193250E-2,-5.803219974E-3
5.885014390E-1,1.168279815E-2,-2.863430791E-2,-4.581489135E-3
7.685014390E-1,-3.107776865E-2,-2.802344225E-2,-8.857546374E-3
9.485014390E-1,2.756529488E-2,-1.947133057E-2,-1.252273750E-2
1.128501439E0,4.222606122E-2,3.123048507E-2,-3.359758761E-3
1.308501439E0,-2.680171281E-2,3.123048507E-2,3.054326226E-4
1.488501439E0,-3.291036561E-2,-1.756237587E-3,-6.414085161E-3
1.668501439E0,-8.475755341E-3,1.298088697E-3,1.802052557E-2
1.848501439E0,-1.756237587E-3,-5.421428941E-3,7.024950348E-3
2.028501439E0,3.741549561E-3,1.412625890E-2,6.414085161E-3
2.208501439E0,1.656972058E-2,2.023491077E-2,-1.435533352E-2
2.388501439E0,-2.252565511E-2,-2.191479132E-2,-9.468411095E-3
2.568501439E0,1.107193250E-2,-1.397354249E-2,1.527163084E-3
2.748501439E0,1.412625890E-2,-1.519527286E-2,1.007927675E-2
2.928501439E0,-1.886046492E-2,-3.588833380E-3,1.527163084E-3
3.108501439E0,8.628471754E-3,-1.763873361E-2,5.192354787E-3
3.288501439E0,3.917173296E-2,-1.091921609E-2,-9.468411095E-3
3.468501439E0,1.908953884E-3,-1.519527286E-2,-2.138028387E-3
3.648501439E0,1.962404512E-2,8.017606102E-3,1.191187184E-2
3.828501439E0,6.185010541E-3,1.908953884E-3,3.359758761E-3
4.008501439E0,6.604980677E-2,1.168279815E-2,-3.970623948E-3
4.188501439E0,4.352414981E-3,1.229366288E-2,-2.351831272E-2
4.368501439E0,3.000875562E-2,-6.032294128E-3,-1.527163084E-3
4.548501439E0,-3.588833380E-3,-1.030835137E-2,1.252273750E-2
4.728501439E0,-4.810563754E-3,-1.153008174E-2,-9.162978968E-4
4.908501439E0,-2.741257846E-2,-1.397354249E-2,-1.435533352E-2
5.088501439E0,4.963280167E-3,7.635815564E-5,-3.054326226E-4
5.268465724E0,-1.030835137E-2,-1.091921609E-2,-2.748893574E-3
5.448431241E0,-2.069306001E-2,1.298088697E-3,-5.192354787E-3
5.648431241E0,-9.277515858E-2,1.908953884E-3,2.535090782E-2
5.848431241E0,-6.895141304E-2,-5.490151420E-2,6.994406879E-2
6.048431241E0,-1.043815985E-1,1.576795876E-1,2.535090782E-2
6.248431241E0,-1.764636934E-1,8.620835841E-2,1.985312067E-2
6.448431241E0,-3.474296257E-2,-8.666650951E-2,-1.740965992E-2
6.648431241E0,1.466840208E-1,-1.641700417E-2,-2.446515262E-1
