"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.657517010E-1,-2.531999969E1,2.531999969E1,-5.700000000E1,6.731422412E1
1.757517010E-1,-2.495999908E1,2.531999969E1,-5.700000000E1,6.717963932E1
1.857517010E-1,-2.460000038E1,2.568000031E1,-5.718000031E1,6.733628197E1
1.957517010E-1,-2.484000015E1,2.555999947E1,-5.753999710E1,6.768449192E1
2.057520340E-1,-2.513999939E1,2.561999893E1,-5.741999817E1,6.771602546E1
2.157520340E-1,-2.609999847E1,2.453999901E1,-5.561999893E1,6.615894311E1
2.257520340E-1,-2.735999870E1,2.303999901E1,-5.603999710E1,6.648227101E1
2.357520340E-1,-2.742000008E1,2.327999878E1,-5.718000031E1,6.755269930E1
2.457520340E-1,-2.777999878E1,2.303999901E1,-5.718000031E1,6.761747053E1
2.557520340E-1,-2.771999931E1,2.303999901E1,-5.850000000E1,6.871309858E1
2.657520340E-1,-2.742000008E1,2.273999977E1,-5.843999863E1,6.844119690E1
2.757520340E-1,-2.784000015E1,2.226000023E1,-5.873999786E1,6.870924660E1
2.857496700E-1,-2.784000015E1,2.202000046E1,-5.843999863E1,6.837528404E1
2.957497530E-1,-2.771999931E1,2.202000046E1,-5.777999878E1,6.776287362E1
3.057497530E-1,-2.759999847E1,2.279999924E1,-5.850000000E1,6.858461840E1
3.157497530E-1,-2.729999924E1,2.321999931E1,-5.850000000E1,6.860545406E1
3.257497530E-1,-2.771999931E1,2.261999893E1,-5.868000031E1,6.872703361E1
3.357497530E-1,-2.718000031E1,2.369999886E1,-5.975999832E1,6.979756272E1
3.457497530E-1,-2.711999893E1,2.400000000E1,-6.000000000E1,7.008205435E1
3.557497530E-1,-2.705999947E1,2.369999886E1,-5.993999863E1,6.990519975E1
3.657497530E-1,-2.711999893E1,2.357999992E1,-5.987999725E1,6.983641464E1
3.757497530E-1,-2.843999863E1,2.237999916E1,-5.891999817E1,6.914668516E1
3.857497530E-1,-2.771999931E1,2.250000000E1,-5.741999817E1,6.761438125E1
3.957497530E-1,-2.831999969E1,2.219999886E1,-5.759999847E1,6.791628786E1
4.057497960E-1,-2.705999947E1,2.327999878E1,-5.789999771E1,6.801920059E1
4.157497960E-1,-2.645999908E1,2.292000008E1,-5.850000000E1,6.817410032E1
4.257497960E-1,-2.789999962E1,2.231999969E1,-5.934000015E1,6.926635535E1
4.357497960E-1,-2.765999985E1,2.250000000E1,-6.000000000E1,6.979488227E1
4.457497960E-1,-2.850000000E1,2.226000023E1,-6.041999817E1,7.041543715E1
4.557497960E-1,-2.873999977E1,2.243999863E1,-6.035999680E1,7.051858151E1
4.657497960E-1,-2.784000015E1,2.255999947E1,-6.077999878E1,7.055655488E1
4.757497960E-1,-2.747999954E1,2.303999901E1,-6.059999847E1,7.041556464E1
4.857488960E-1,-2.718000031E1,2.339999962E1,-6.059999847E1,7.041784017E1
4.957488960E-1,-2.669999886E1,2.405999947E1,-6.071999741E1,7.055984409E1
5.057488620E-1,-2.657999992E1,2.400000000E1,-6.018000031E1,7.002948545E1
5.157488620E-1,-2.693999863E1,2.357999992E1,-5.987999725E1,6.976671121E1
5.257488620E-1,-2.705999947E1,2.339999962E1,-6.035999680E1,7.016503949E1
5.357488620E-1,-2.807999992E1,2.303999901E1,-6.047999954E1,7.054897798E1
5.457488950E-1,-2.861999893E1,2.292000008E1,-6.035999680E1,7.062407490E1
5.557488950E-1,-2.837999916E1,2.292000008E1,-5.969999695E1,6.996313595E1
5.657488950E-1,-2.861999893E1,2.213999939E1,-5.868000031E1,6.893929466E1
