"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.565890000E-3,-2.144692093E-2,-1.153565645E-1,2.062377930E-1
1.015388900E-1,6.531298161E-2,-4.251825809E-2,-1.374645233E-1
2.015658900E-1,-4.401803017E-5,-4.474198818E-2,1.219663620E-1
3.015688900E-1,1.387099922E-2,-7.456195354E-2,1.286525726E-1
4.015775560E-1,-1.168861985E-3,-1.019781828E-1,4.575729370E-2
5.015775560E-1,2.538396418E-2,-5.155408382E-2,8.896255493E-2
6.015789560E-1,2.748534083E-3,-5.072176456E-2,3.949546814E-2
7.015789560E-1,-7.650122046E-3,-8.841323853E-2,1.166257858E-1
8.015828130E-1,9.827926755E-3,-3.744077682E-2,3.218841553E-2
9.015828130E-1,5.659274757E-2,-8.711576462E-2,4.312705994E-2
1.001585813E0,6.867982447E-2,-3.751957417E-2,5.346202850E-2
1.103247961E0,3.526954353E-2,-8.097052574E-2,3.480815887E-2
1.203250415E0,1.084904373E-2,-3.730571270E-2,2.165126801E-2
1.303250498E0,-2.536937594E-3,-5.151855946E-2,1.149187088E-1
1.403252498E0,1.427586377E-2,-1.274039745E-1,4.665851593E-2
1.503252855E0,7.066696882E-3,-4.092180729E-2,5.419158936E-2
1.603253255E0,-9.490445256E-3,-6.958472729E-2,2.596950531E-2
1.703253317E0,-1.354953647E-2,-6.020188332E-2,9.380626678E-2
1.803254905E0,1.519757509E-2,-9.793293476E-2,6.641578674E-2
1.903254905E0,4.332546890E-2,-6.315791607E-2,7.706737518E-2
2.003256326E0,2.516567707E-2,-5.372440815E-2,3.370380402E-2
2.103256326E0,1.614277065E-2,-6.570732594E-2,1.339979172E-1
2.203257611E0,3.273218870E-3,-1.031748056E-1,4.336452484E-2
2.303257611E0,-4.544973373E-3,-6.512713432E-2,2.253055573E-2
2.403258741E0,-2.334085107E-2,-6.988441944E-2,3.213882446E-2
2.503258741E0,-1.842564344E-2,-4.512906075E-2,5.423450470E-2
2.603258981E0,-7.663190365E-3,-9.216070175E-4,6.894874573E-2
2.703258981E0,8.095920086E-3,-5.088818073E-2,2.674770355E-2
2.803259981E0,3.184212744E-2,-7.689762115E-2,7.377624512E-2
2.903260088E0,2.280712128E-3,-5.489611626E-2,4.225730896E-2
3.003261019E0,4.533660412E-2,-7.484996319E-2,6.220149994E-2
3.103261019E0,1.915289462E-2,-5.664026737E-2,2.092933655E-2
3.203261019E0,4.722952843E-3,-3.288769722E-2,9.775543213E-2
3.303260819E0,7.392996550E-2,-5.028235912E-2,1.150465012E-1
3.403260819E0,-4.125010967E-2,-7.394993305E-2,1.317167282E-1
3.503260819E0,-4.031658173E-4,-1.161146164E-1,3.832340240E-2
3.603260785E0,1.638516784E-2,-3.869950771E-2,8.064270020E-2
3.703141651E0,1.614055037E-2,-1.176879406E-1,6.266117096E-2
3.803141651E0,2.977979183E-2,-1.128580570E-1,1.089906693E-1
3.903141784E0,9.923756123E-3,-8.406651020E-2,1.008205414E-1
4.003141784E0,-2.672654390E-2,-8.052098751E-2,-2.605438232E-3
4.103141784E0,3.055751324E-3,-5.354380608E-2,2.009773254E-2
4.203141784E0,7.144343853E-2,-3.181815147E-3,2.279853821E-2
4.303141750E0,5.186550319E-2,-6.016051769E-2,1.333265305E-1
4.403141750E0,3.941208124E-2,-7.342219353E-2,3.201103210E-2
4.503141583E0,1.200437546E-2,-5.019342899E-2,7.383537292E-2
4.603141349E0,-3.006586432E-2,-8.390688896E-2,7.161045074E-2
4.703141315E0,9.328246117E-3,-6.805586815E-2,1.249980927E-2
