"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.934822480E1,1.805820350E1,1.229808143E1,NaN,NaN,1.599199963E1,1.544739366E0
6.737038450E-1,5.934770052E1,1.805881516E1,3.122442063E0,2.301402390E-2,1.684202576E2,6.000000000E0,3.000000000E0
1.674377806E0,5.934770132E1,1.805881535E1,3.151481568E0,1.263551600E-2,1.684202576E2,6.000000000E0,3.000000000E0
2.674634652E0,5.934770169E1,1.805881323E1,3.271791006E0,3.765834123E-2,1.684202576E2,6.000000000E0,3.000000000E0
3.679018997E0,5.934770263E1,1.805881233E1,3.299916293E0,1.291705202E-2,1.684202576E2,6.000000000E0,3.000000000E0
4.679814689E0,5.934770354E1,1.805881104E1,3.316454469E0,1.754553989E-2,1.684202576E2,6.000000000E0,3.000000000E0
5.668825303E0,5.934770373E1,1.805881103E1,3.325913215E0,1.486937329E-2,1.684202576E2,6.000000000E0,3.000000000E0
6.679537495E0,5.934770359E1,1.805881142E1,3.321462519E0,1.333718840E-2,1.684202576E2,6.000000000E0,3.000000000E0
7.680117686E0,5.934770342E1,1.805881155E1,3.299515989E0,1.357660070E-2,1.684202576E2,6.000000000E0,3.000000000E0
8.663860378E0,5.934770346E1,1.805881227E1,3.332580381E0,1.660349220E-2,1.684202576E2,6.000000000E0,3.000000000E0
9.682852839E0,5.934770354E1,1.805881245E1,3.328958624E0,1.771956496E-2,1.684202576E2,6.000000000E0,3.000000000E0
1.068317784E1,5.934770336E1,1.805881256E1,3.348217738E0,3.114717267E-2,1.684202576E2,6.000000000E0,3.000000000E0
1.168686722E1,5.934769485E1,1.805882090E1,3.530825349E0,9.926534891E-1,1.558417816E2,6.000000000E0,3.000000000E0
1.268111668E1,5.934768240E1,1.805882860E1,3.498862158E0,1.242094994E0,1.572508850E2,6.000000000E0,3.000000000E0
1.367599849E1,5.934767039E1,1.805883736E1,3.302577521E0,1.337505817E0,1.546727142E2,6.000000000E0,3.000000000E0
1.468184941E1,5.934765694E1,1.805884935E1,3.210682921E0,1.448395491E0,1.541361542E2,8.000000000E0,3.000000000E0
1.568295795E1,5.934764330E1,1.805886123E1,3.195341067E0,1.517841339E0,1.545806732E2,8.000000000E0,3.000000000E0
1.666995130E1,5.934762970E1,1.805887265E1,3.195742688E0,1.556180954E0,1.544847717E2,8.000000000E0,3.000000000E0
1.767260899E1,5.934761606E1,1.805888392E1,3.180119669E0,1.585482121E0,1.544813232E2,8.000000000E0,3.000000000E0
1.868461483E1,5.934760288E1,1.805889317E1,3.121812765E0,1.589122176E0,1.555707245E2,8.000000000E0,3.000000000E0
1.968807145E1,5.934758888E1,1.805890324E1,3.024916316E0,1.604092717E0,1.558650208E2,8.000000000E0,3.000000000E0
2.067355625E1,5.934757377E1,1.805891642E1,2.887178035E0,1.639825463E0,1.550113678E2,8.000000000E0,3.000000000E0
2.169325533E1,5.934755829E1,1.805892973E1,2.888819169E0,1.671323061E0,1.551774902E2,8.000000000E0,3.000000000E0
2.268254206E1,5.934754449E1,1.805894130E1,2.988991370E0,1.672664642E0,1.545612183E2,8.000000000E0,3.000000000E0
2.368149806E1,5.934753066E1,1.805895381E1,2.880333369E0,1.675947070E0,1.553816223E2,8.000000000E0,3.000000000E0
2.467708887E1,5.934751635E1,1.805896566E1,2.880832928E0,1.679020882E0,1.553358307E2,6.000000000E0,3.000000000E0
2.567977883E1,5.934750323E1,1.805897989E1,2.857597802E0,1.677123904E0,1.549818115E2,6.000000000E0,3.000000000E0
2.666911402E1,5.934748854E1,1.805899213E1,2.849277658E0,1.686553836E0,1.539856567E2,6.000000000E0,3.000000000E0
2.768059825E1,5.934747514E1,1.805900108E1,2.717949081E0,1.678737640E0,1.561190491E2,6.000000000E0,3.000000000E0
2.869364410E1,5.934746074E1,1.805901224E1,2.731858835E0,1.680561304E0,1.559193268E2,6.000000000E0,3.000000000E0
2.968200786E1,5.934744763E1,1.805902399E1,2.824199633E0,1.672941566E0,1.551729431E2,6.000000000E0,3.000000000E0
3.067942282E1,5.934743412E1,1.805903726E1,2.787377317E0,1.672489643E0,1.533218536E2,6.000000000E0,3.000000000E0
3.166991136E1,5.934741977E1,1.805904922E1,2.826735757E0,1.676376224E0,1.559610596E2,6.000000000E0,3.000000000E0
3.266376359E1,5.934740488E1,1.805906160E1,2.771714281E0,1.685323358E0,1.544915771E2,8.000000000E0,3.000000000E0
3.366193194E1,5.934739055E1,1.805907611E1,2.940151934E0,1.692999482E0,1.544722137E2,6.000000000E0,3.000000000E0
3.467322805E1,5.934737805E1,1.805908952E1,2.947365952E0,1.683688164E0,1.551301727E2,6.000000000E0,3.000000000E0
3.567711197E1,5.934736624E1,1.805910171E1,2.903478758E0,1.666940451E0,1.542194824E2,6.000000000E0,3.000000000E0
3.666600032E1,5.934735392E1,1.805911513E1,2.942090959E0,1.658245087E0,1.543728485E2,6.000000000E0,3.000000000E0
3.768545551E1,5.934734048E1,1.805913073E1,2.787252093E0,1.663727045E0,1.542079010E2,4.000000000E0,3.000000000E0
3.869316336E1,5.934732930E1,1.805914675E1,2.974915267E0,1.653234839E0,1.535406494E2,4.000000000E0,3.000000000E0
3.968553262E1,5.934731601E1,1.805916066E1,3.070745391E0,1.654379606E0,1.550593262E2,4.000000000E0,3.000000000E0
4.068739712E1,5.934730406E1,1.805917390E1,3.051049386E0,1.644258022E0,1.549154816E2,4.000000000E0,3.000000000E0
4.168031258E1,5.934729021E1,1.805918727E1,3.061786916E0,1.649909139E0,1.546514435E2,6.000000000E0,3.000000000E0
4.266259916E1,5.934727912E1,1.805920304E1,3.398401741E0,1.639455080E0,1.467075043E2,6.000000000E0,3.000000000E0
4.368050220E1,5.934726739E1,1.805921823E1,3.439260165E0,1.631855965E0,1.477042694E2,6.000000000E0,3.000000000E0
4.467242531E1,5.934725466E1,1.805923358E1,3.917530532E0,1.632758141E0,1.525282440E2,6.000000000E0,3.000000000E0
4.568852758E1,5.934724114E1,1.805924920E1,3.490111340E0,1.640154958E0,1.526634674E2,6.000000000E0,3.000000000E0
4.668540281E1,5.934723128E1,1.805926699E1,3.709506928E0,1.626532912E0,1.520196228E2,6.000000000E0,3.000000000E0
4.767911274E1,5.934721727E1,1.805927765E1,3.712494876E0,1.628991365E0,1.549118805E2,6.000000000E0,3.000000000E0
4.866576385E1,5.934720405E1,1.805929154E1,3.707171874E0,1.631259441E0,1.549558716E2,6.000000000E0,3.000000000E0
4.967319746E1,5.934719098E1,1.805930501E1,3.673248467E0,1.631562591E0,1.545552216E2,6.000000000E0,3.000000000E0
5.068435269E1,5.934717706E1,1.805932144E1,3.674342601E0,1.641868591E0,1.529982910E2,6.000000000E0,3.000000000E0
5.167187731E1,5.934716554E1,1.805933465E1,3.689643181E0,1.623136282E0,1.480083466E2,6.000000000E0,3.000000000E0
5.267279058E1,5.934715590E1,1.805935141E1,3.725312529E0,1.603741407E0,1.445802765E2,6.000000000E0,3.000000000E0
5.366722035E1,5.934714540E1,1.805936678E1,3.799874709E0,1.590172768E0,1.507735291E2,6.000000000E0,3.000000000E0
5.467380100E1,5.934713331E1,1.805937946E1,3.774156690E0,1.582432032E0,1.529093781E2,6.000000000E0,3.000000000E0
5.568584784E1,5.934712152E1,1.805939200E1,3.814746988E0,1.570706367E0,1.518413086E2,6.000000000E0,3.000000000E0
5.667754577E1,5.934710519E1,1.805940339E1,3.723886304E0,1.595179319E0,1.529062958E2,6.000000000E0,3.000000000E0
5.767789919E1,5.934709076E1,1.805941649E1,3.486645703E0,1.605195045E0,1.526607819E2,6.000000000E0,3.000000000E0
5.867241150E1,5.934707996E1,1.805943000E1,3.497912060E0,1.587880731E0,1.521267090E2,6.000000000E0,3.000000000E0
5.968076219E1,5.934706927E1,1.805944922E1,3.152914775E0,1.587277532E0,1.510058746E2,6.000000000E0,3.000000000E0
6.068767176E1,5.934705560E1,1.805945592E1,3.750615737E0,1.585547447E0,1.546582642E2,6.000000000E0,3.000000000E0
6.169908661E1,5.934704240E1,1.805947256E1,3.685780997E0,1.596415281E0,1.545882416E2,6.000000000E0,3.000000000E0
6.268459042E1,5.934703153E1,1.805948449E1,3.681025889E0,1.577741623E0,1.547089844E2,6.000000000E0,3.000000000E0
6.368565734E1,5.934701372E1,1.805949697E1,4.012029955E0,1.617043138E0,1.600687103E2,6.000000000E0,3.000000000E0
6.467981399E1,5.934700313E1,1.805951122E1,3.757196807E0,1.600144029E0,1.517026672E2,6.000000000E0,3.000000000E0
6.567338226E1,5.934699312E1,1.805952223E1,3.747299416E0,1.570319176E0,1.524270630E2,6.000000000E0,3.000000000E0
6.668373403E1,5.934698168E1,1.805953565E1,3.514245503E0,1.559673786E0,1.510270081E2,6.000000000E0,3.000000000E0
6.767475922E1,5.934696824E1,1.805954586E1,3.598847031E0,1.560950279E0,1.583640137E2,6.000000000E0,3.000000000E0
6.867784980E1,5.934695534E1,1.805955626E1,3.627681806E0,1.558117867E0,1.572885437E2,6.000000000E0,3.000000000E0
6.968192595E1,5.934694245E1,1.805956744E1,3.672850927E0,1.555539846E0,1.565531464E2,6.000000000E0,3.000000000E0
7.066282464E1,5.934693121E1,1.805957923E1,3.769552106E0,1.540118098E0,1.544226837E2,6.000000000E0,3.000000000E0
7.168788772E1,5.934692013E1,1.805959688E1,3.774791421E0,1.540528059E0,1.508295898E2,6.000000000E0,3.000000000E0
7.268226814E1,5.934690866E1,1.805961663E1,3.788295195E0,1.544896722E0,1.540252380E2,6.000000000E0,3.000000000E0
7.368437087E1,5.934689909E1,1.805962848E1,3.831637752E0,1.512476921E0,1.564384460E2,6.000000000E0,3.000000000E0
7.468538810E1,5.934689142E1,1.805963693E1,3.864898213E0,1.464576840E0,1.559029236E2,6.000000000E0,3.000000000E0
7.568505791E1,5.934687840E1,1.805964893E1,3.776154151E0,1.467437267E0,1.571527557E2,6.000000000E0,3.000000000E0
7.668233414E1,5.934686490E1,1.805966008E1,3.671982719E0,1.473221302E0,1.577456818E2,6.000000000E0,3.000000000E0
7.767324568E1,5.934684869E1,1.805966944E1,3.298342395E0,1.503676295E0,1.606600037E2,6.000000000E0,3.000000000E0
7.867418133E1,5.934682861E1,1.805967650E1,3.727882700E0,1.563356400E0,1.626520691E2,6.000000000E0,3.000000000E0
7.969158667E1,5.934681265E1,1.805968768E1,3.805872453E0,1.587056756E0,1.603217010E2,6.000000000E0,3.000000000E0
8.068455402E1,5.934679815E1,1.805969662E1,3.797880899E0,1.591769457E0,1.634222870E2,6.000000000E0,3.000000000E0
8.169452856E1,5.934678376E1,1.805970978E1,4.077566903E0,1.604403734E0,1.558567505E2,6.000000000E0,3.000000000E0
8.267735059E1,5.934676887E1,1.805972119E1,4.054966488E0,1.613425970E0,1.564041138E2,6.000000000E0,3.000000000E0
