"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.156527200E-2,-1.092000008E1,-2.951999855E1,-3.497999954E1
4.156530500E-2,-1.061999989E1,-3.000000000E1,-3.239999771E1
1.415653050E-1,-6.599999905E0,-2.609999847E1,-3.821999741E1
2.415653050E-1,-6.659999847E0,-2.507999992E1,-4.097999954E1
3.415653050E-1,-8.939999580E0,-2.723999977E1,-3.857999802E1
4.415653050E-1,-1.157999992E1,-3.113999939E1,-2.789999962E1
5.415653050E-1,-1.163999939E1,-3.197999954E1,-2.711999893E1
6.415653050E-1,-1.007999992E1,-2.813999939E1,-3.750000000E1
7.415653050E-1,-7.259999752E0,-2.501999855E1,-4.271999741E1
8.415653050E-1,-7.799999714E0,-2.519999886E1,-4.211999893E1
9.415653050E-1,-8.340000153E0,-2.585999870E1,-4.236000061E1
1.041565305E0,-8.460000038E0,-2.687999916E1,-4.002000046E1
1.141565305E0,-6.359999657E0,-2.423999977E1,-4.295999908E1
1.241565305E0,-7.980000019E0,-2.555999947E1,-4.218000031E1
1.341565305E0,-6.659999847E0,-2.453999901E1,-4.223999786E1
1.441565305E0,-8.099999428E0,-2.543999863E1,-4.218000031E1
1.541565305E0,-7.739999771E0,-2.460000038E1,-4.307999802E1
1.641565305E0,-8.340000153E0,-2.579999924E1,-4.181999969E1
1.741565305E0,-7.319999695E0,-2.453999901E1,-4.193999863E1
1.841565305E0,-7.739999771E0,-2.507999992E1,-4.307999802E1
1.941565305E0,-7.919999599E0,-2.537999916E1,-4.127999878E1
2.041565305E0,-6.779999733E0,-2.381999969E1,-4.271999741E1
2.141565305E0,-7.019999981E0,-2.423999977E1,-4.211999893E1
2.241565305E0,-6.119999886E0,-2.279999924E1,-4.397999954E1
2.341565305E0,-7.019999981E0,-2.471999931E1,-4.325999832E1
2.441565305E0,-6.119999886E0,-2.315999985E1,-4.409999847E1
2.541565305E0,-7.619999886E0,-2.550000000E1,-4.139999771E1
2.641565305E0,-6.359999657E0,-2.345999908E1,-4.452000046E1
2.741565305E0,-8.939999580E0,-2.718000031E1,-3.743999863E1
2.841565305E0,-6.659999847E0,-2.334000015E1,-4.445999908E1
2.941565305E0,-6.659999847E0,-2.381999969E1,-4.421999741E1
